City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
187,Opuwo,NA,2022-02-13 22:27:19,-18.0607,13.84,68.9,86,100,5.97,light rain,0.0,0.0
188,Bambous Virieux,MU,2022-02-13 22:19:53,-20.3428,57.7575,81.21,94,75,11.5,broken clouds,0.0,0.0
189,Chokurdakh,RU,2022-02-13 22:19:31,70.6333,147.9167,-6.77,93,100,9.31,overcast clouds,0.0,0.0
190,Morondava,MG,2022-02-13 22:21:45,-20.2833,44.2833,80.37,84,91,3.33,light rain,0.0,0.0
191,Kruisfontein,ZA,2022-02-13 22:19:33,-34.0033,24.7314,65.32,84,23,6.78,few clouds,0.0,0.0
192,Ekhabi,RU,2022-02-13 22:27:20,53.5102,142.9671,-14.21,97,16,9.17,few clouds,0.0,0.0
193,Ariyalur,IN,2022-02-13 22:27:20,11.1333,79.0833,71.76,84,15,5.61,few clouds,0.0,0.0
194,Geraldton,AU,2022-02-13 22:20:11,-28.7667,114.6,73.81,83,75,4.61,broken clouds,0.0,0.0
195,Esperance,AU,2022-02-13 22:20:14,-33.8667,121.9,62.29,73,26,9.89,scattered clouds,0.0,0.0
196,Te Anau,NZ,2022-02-13 22:20:39,-45.4167,167.7167,57.87,62,38,0.38,scattered clouds,0.0,0.0
197,Airai,TL,2022-02-13 22:19:56,-8.9266,125.4092,58.37,90,37,2.3,scattered clouds,0.0,0.0
198,Ponta Do Sol,PT,2022-02-13 22:20:55,32.6667,-17.1,62.71,69,97,2.48,overcast clouds,0.0,0.0
199,Birin,NP,2022-02-13 22:27:20,26.8865,88.0718,43.41,80,1,4.03,clear sky,0.0,0.0
200,Samarai,PG,2022-02-13 22:21:50,-10.6167,150.6667,81.61,72,34,5.88,scattered clouds,0.0,0.0
201,Dom Pedrito,BR,2022-02-13 22:18:52,-30.9828,-54.6731,75.45,22,0,9.28,clear sky,0.0,0.0
202,Beisfjord,NO,2022-02-13 22:27:21,68.3751,17.5988,30.25,93,100,7.7,light snow,0.0,0.0
203,Faya,SA,2022-02-13 22:20:54,18.3851,42.4509,52.32,45,70,2.75,broken clouds,0.0,0.0
204,Coihaique,CL,2022-02-13 22:27:21,-45.5752,-72.0662,76.95,33,0,9.22,clear sky,0.0,0.0
205,Rawson,AR,2022-02-13 22:18:13,-43.3002,-65.1023,85.33,22,0,23.44,clear sky,0.0,0.0
206,Ananas,HT,2022-02-13 22:27:21,19.2466,-71.9557,75.27,42,2,5.28,clear sky,0.0,0.0
207,Saint George,US,2022-02-13 22:21:04,37.1041,-113.5841,73.87,14,0,1.99,clear sky,0.0,0.0
208,Bowen,AU,2022-02-13 22:22:47,-20.0167,148.2333,80.64,63,21,18.54,few clouds,0.0,0.0
209,Ouesso,CG,2022-02-13 22:27:22,1.6136,16.0517,76.5,31,100,0.92,overcast clouds,0.0,0.0
210,Prince Albert,CA,2022-02-13 22:27:22,53.2001,-105.7677,15.75,67,20,18.41,few clouds,0.0,0.0
211,Iqaluit,CA,2022-02-13 22:20:22,63.7506,-68.5145,-14.31,68,100,5.75,light snow,0.0,0.0
212,Carnarvon,AU,2022-02-13 22:20:31,-24.8667,113.6333,75.27,88,3,0.0,clear sky,0.0,0.0
213,Indramayu,ID,2022-02-13 22:27:22,-6.3264,108.32,77.41,81,100,2.08,overcast clouds,0.0,0.0
214,Oriximina,BR,2022-02-13 22:27:23,-1.7656,-55.8661,79.86,79,86,0.69,overcast clouds,0.0,0.0
215,Alyangula,AU,2022-02-13 22:27:23,-13.8483,136.4192,78.67,100,24,3.44,few clouds,0.0,0.0
216,Marsh Harbour,BS,2022-02-13 22:27:23,26.5412,-77.0636,74.35,82,100,17.25,overcast clouds,0.0,0.0
217,Chicama,PE,2022-02-13 22:27:23,-7.8447,-79.1469,70.34,58,61,10.04,broken clouds,0.0,0.0
218,Mahebourg,MU,2022-02-13 22:20:00,-20.4081,57.7,81.25,94,75,11.5,broken clouds,0.0,0.0
219,Vasilyevskiy Mokh,RU,2022-02-13 22:27:24,57.0132,35.919,25.59,83,100,11.18,overcast clouds,0.0,0.0
220,Petropavlovsk-Kamchatskiy,RU,2022-02-13 22:27:24,53.0452,158.6483,18.19,53,75,8.95,broken clouds,0.0,0.0
221,San Matias,BO,2022-02-13 22:27:24,-16.3667,-58.4,78.42,85,100,4.79,overcast clouds,0.0,0.0
